,owner,culture,religion,hre,base_tax,base_production,trade_goods,base_manpower,capital,is_city,center_of_trade,name,province_id,trade_node,middle_x_pos,middle_y_pos
66,KHA,buryat,tengri_pagan_reformed,False,1,1,fur,1,Nerchinsky,True,0,Nerchinsky,1058,girin,4618.0,498.0
67,RUS,tungus,tengri_pagan_reformed,False,1,1,unknown,1,Kezemskoe,True,0,Bratsk,1059,siberia,4432.0,294.0
68,FER,romagnan,catholic,True,5,5,livestock,2,Modena,True,0,Modena,106,venice,2973.0,639.0
69,RUS,buryat,tengri_pagan_reformed,False,1,1,unknown,1,Irkutsk,True,1,Irkutsk,1060,siberia,4429.0,456.0
70,RUS,tungus,tengri_pagan_reformed,False,1,1,unknown,1,Novoselovo,True,0,Yeniseysk,1061,siberia,4301.0,283.0
71,RUS,buryat,tengri_pagan_reformed,False,1,1,unknown,1,Angara,True,0,Kachinsk,1062,siberia,4363.0,381.0
72,RUS,buryat,tengri_pagan_reformed,False,1,1,unknown,1,Sayan,True,0,Sayan,1063,siberia,4320.0,441.0
73,RUS,ostyaki,tengri_pagan_reformed,False,1,1,unknown,1,Tomsk,True,0,Tomsk,1064,siberia,4180.0,340.0
74,OIR,kirgiz,tengri_pagan_reformed,False,1,1,unknown,1,Kuznetsk,True,0,Kuznetsk,1065,siberia,4220.0,439.0
75,OIR,buryat,tengri_pagan_reformed,False,1,1,fur,1,Altai,True,0,Altai,1066,siberia,4157.0,501.0
76,RUS,samoyed,orthodox,False,1,1,unknown,1,Turukhan,True,0,Narym,1067,siberia,4181.0,251.0
77,RUS,ostyaki,tengri_pagan_reformed,False,1,1,unknown,1,Ket,True,0,PegayaOrda,1068,siberia,4114.0,310.0
78,SIB,samoyed,orthodox,False,1,1,unknown,1,Sörgüt,True,0,Surgut,1069,siberia,3980.0,232.0
79,Unowned,lombard,catholic,True,5,5,cloth,3,Brescia,True,0,Brescia,107,venice,2968.0,611.0
80,SIB,samoyed,orthodox,False,1,1,unknown,1,Narim,True,0,Koda,1070,siberia,4086.0,218.0
81,SHY,siberian,sunni,False,2,2,fur,2,Tara,True,0,Tara,1071,siberia,3949.0,386.0
82,RUS,samoyed,orthodox,False,1,1,unknown,1,Obdorsk,True,0,Obdorsk,1072,siberia,3895.0,104.0
83,RUS,samoyed,orthodox,False,1,1,unknown,1,Berezov,True,0,Berezov,1073,siberia,3883.0,201.0
84,SHY,ostyaki,sunni,False,2,2,fur,2,Qashliq,True,0,Sibir,1074,siberia,3890.0,330.0
85,SHY,siberian,sunni,False,4,4,fur,4,Chimgi-Tura,True,1,Tyumen,1075,siberia,3853.0,380.0
86,SHY,siberian,sunni,False,3,3,fur,3,Kurgan,True,0,Kurgan,1076,siberia,3814.0,404.0
87,PRM,uralic,Unowned,False,3,0,,1,Solikamsk,True,0,Solikamsk,1077,white_sea,3704.0,325.0
88,SIB,uralic,orthodox,False,1,1,unknown,1,Neromkar,True,0,MiddleUrals,1078,siberia,3752.0,354.0
89,MOS,russian,orthodox,False,3,3,copper,4,Hlynov,True,0,Viatka,1079,kazan,3582.0,339.0
90,MLO,venetian,catholic,False,5,5,grain,3,Verona,True,1,Verona,108,venice,2976.0,616.0
91,RUS,uralic,orthodox,False,1,1,unknown,1,Pelym,True,0,NorthUrals,1080,siberia,3776.0,257.0
92,KAZ,kazani,sunni,False,1,1,iron,1,Bolgar,True,0,Simbirsk,1081,kazan,3548.0,442.0
93,KAZ,kazani,sunni,False,6,6,grain,3,Kazan,True,2,Kazan,1082,kazan,3573.0,397.0
94,MOS,russian,orthodox,False,3,3,grain,2,Yur,True,0,Zavolochye,1083,kazan,3521.0,357.0
95,NOO,nyoongah,dreamtime,False,3,4,livestock,2,Wadjuk,True,1,Wadjuk,1084,australia,4670.0,1896.0
96,GBR,palawa,dreamtime,False,2,2,fish,2,Paredarerme,True,0,Paredarerme,1085,australia,5075.0,2031.0
97,KAU,yura,dreamtime,False,3,3,fish,1,Kaurna,True,1,Kaurna,1086,australia,4959.0,1908.0
98,WRU,kulin,dreamtime,False,4,5,livestock,2,Wurundjeri,True,1,Wurundjeri,1087,australia,5043.0,1966.0
99,Unowned,kulin,dreamtime,False,1,1,unknown,1,Wergaia,False,0,Wergaia,1088,australia,5048.0,1930.0
100,Unowned,gamilaraay,dreamtime,False,3,3,unknown,2,Wiradjuri,False,0,Wiradjuri,1089,australia,5097.0,1894.0
101,MAN,romagnan,catholic,True,8,8,livestock,3,Mantova,True,1,Mantua,109,venice,2969.0,625.0
102,EOR,aboriginal,dreamtime,False,5,4,fish,2,Eora,True,1,Eora,1090,australia,5129.0,1911.0
103,Unowned,gamilaraay,dreamtime,False,1,1,unknown,1,Kamilaroi,False,0,Kamilaroi,1091,australia,5094.0,1863.0
104,Unowned,aboriginal,dreamtime,False,3,3,unknown,2,Gubbi-Gubbi,False,0,Bundjalung,1092,australia,5153.0,1855.0
105,Unowned,gamilaraay,dreamtime,False,1,1,unknown,1,Barunggam,False,0,Barunggam,1093,australia,5087.0,1777.0
106,MIA,gamilaraay,dreamtime,False,2,2,naval_supplies,1,Turrbal,True,0,Turrbal,1094,australia,5134.0,1774.0
107,FRA,cosmopolitan_french,catholic,False,1,1,unknown,1,Falklands,True,0,Falklands,1095,laplata,1893.0,1970.0
108,POR,portugese,catholic,False,1,1,unknown,1,CapeVerde,True,0,CapeVerde,1096,ivory_coast,2424.0,1139.0
109,POR,yorumba,catholic,False,2,2,unknown,1,FernandoPo,True,0,FernandoPo,1097,ivory_coast,2941.0,1342.0
110,NED,dutch,reformed,False,1,1,unknown,1,St,True,0,St,1098,ivory_coast,2721.0,1651.0
111,MHR,mahri_culture,coptic,False,1,2,fish,1,Suqutra,True,0,Socotra,1099,gulf_of_aden,3637.0,1198.0
112,SWE,swedish,catholic,False,1,1,fur,1,Umeå,True,0,Vasterbotten,11,baltic_sea,3135.0,178.0
113,TNT,venetian,catholic,True,4,3,iron,1,Trent,True,0,Trent,110,,2981.0,602.0
114,FRA,cosmopolitan_french,catholic,False,2,2,unknown,1,Mahe,True,0,Mahe,1100,zanzibar,3682.0,1472.0
115,FRA,cosmopolitan_french,catholic,False,1,1,unknown,1,DiegoGarcia,True,0,DiegoGarcia,1101,comorin_cape,3969.0,1530.0
116,NED,dutch,reformed,False,5,5,unknown,1,Mauritius,True,0,Mauritius,1102,zanzibar,3710.0,1716.0
117,FRA,cosmopolitan_french,catholic,False,5,5,unknown,1,Bourbon,True,0,Bourbon,1103,zanzibar,3669.0,1735.0
118,DAN,inuit,totemism,False,1,1,unknown,1,Eiriksfjord,True,0,Eiriksfjord,1104,st_lawrence,2087.0,179.0
119,DAN,inuit,totemism,False,1,1,unknown,1,Vestbygden,True,0,Vestbygden,1105,st_lawrence,2015.0,83.0
120,TTT,maori,animism,False,4,4,tropical_wood,2,Whangarei,True,0,TeTaiTokerau,1106,polynesia_node,5534.0,1825.0
121,TNK,maori,animism,False,4,4,salt,2,Ngamotu,True,0,Taranaki,1107,polynesia_node,5550.0,1910.0
122,TEA,maori,animism,False,4,4,fish,2,Tauranga,True,0,TeMoanaaToi,1108,polynesia_node,5568.0,1883.0
123,Unowned,maori,animism,False,1,1,naval_supplies,1,Kaiapoi,False,0,Timaru,1109,polynesia_node,5496.0,1989.0
124,AQU,venetian,catholic,False,5,5,wine,2,Udine,False,0,Friuli,111,venice,3005.0,607.0
125,MOR,berber,sunni,False,3,3,sugar,2,Agadir,True,1,RiodeOro,1110,safi,2650.0,913.0
126,POR,berber,sunni,False,1,1,unknown,1,Arguin,True,0,Arguin,1111,ivory_coast,2550.0,1051.0
127,JOL,senegambian,sunni,False,1,1,salt,1,Awlil,True,0,Trarza,1112,ivory_coast,2563.0,1115.0
128,JOL,senegambian,Unowned,False,3,3,slaves,2,Mboul,True,0,Cayor,1113,ivory_coast,2554.0,1147.0
129,MAL,senegambian,Unowned,False,3,3,ivory,2,Kansala,True,1,Gabu,1114,ivory_coast,2567.0,1206.0
130,Unowned,fulani,Unowned,False,1,1,unknown,1,Aligh,False,0,Brakna,1115,timbuktu,2593.0,1127.0
131,JOL,senegambian,Unowned,False,3,3,slaves,2,Jowol,True,0,Wolof,1116,ivory_coast,2573.0,1159.0
132,MAL,fulani,Unowned,False,3,3,ivory,3,Timbo,True,0,FutaJallon,1117,ivory_coast,2620.0,1223.0
133,GBR,dyola,Unowned,False,1,1,unknown,1,Sherbro,True,0,SierraLeone,1118,ivory_coast,2617.0,1267.0
134,Unowned,dyola,Unowned,False,1,1,,1,Mesurado,False,0,GrainCoast,1119,ivory_coast,2672.0,1314.0
135,VEN,venetian,catholic,False,10,12,glass,5,Venezia,False,3,Venezia,112,venice,2996.0,619.0
136,MAL,soninke,Unowned,False,6,6,gold,2,Bambuk,True,0,Bambuk,1120,timbuktu,2631.0,1187.0
137,MAL,mali,Unowned,False,6,6,gold,2,Kurussa,True,0,Bure,1121,timbuktu,2653.0,1230.0
138,MAL,dyola,Unowned,False,1,1,dyes,1,Tingrela,True,0,Bagoe,1122,timbuktu,2694.0,1233.0
139,MAL,bambara,Unowned,False,5,5,grain,2,Kirina,True,0,Segu,1123,timbuktu,2700.0,1175.0
140,MAL,mali,Unowned,False,4,4,grain,8,Niani,True,1,Wasuju,1124,timbuktu,2676.0,1214.0
141,KNG,dyola,Unowned,False,2,2,ivory,2,Kong,True,0,Kong,1125,timbuktu,2731.0,1247.0
142,Unowned,aka,Unowned,False,1,1,unknown,1,Assinie,False,0,IvoryCoast,1126,ivory_coast,2714.0,1314.0
143,MOR,tuareg,sunni,False,1,1,unknown,1,Tawat,True,0,Tuat,1127,timbuktu,2723.0,964.0
144,TMB,tuareg,sunni,False,1,1,salt,1,Tawdani,True,0,Taodeni,1128,timbuktu,2760.0,1033.0
145,TMB,tuareg,sunni,False,1,1,salt,1,Arawan,True,0,Azawadd,1129,timbuktu,2758.0,1073.0
146,FER,romagnan,catholic,True,6,6,salt,2,Ferrara,True,0,Ferrara,113,venice,2990.0,630.0
147,SON,tuareg,sunni,False,1,1,wool,1,Tadmekka,True,0,Tadmekka,1130,timbuktu,2816.0,1100.0
148,JNN,bambara,Unowned,False,4,4,grain,1,Macina,True,1,Massina,1131,timbuktu,2718.0,1159.0
149,TMB,tuareg,sunni,False,8,8,cloth,2,Timbuktu,True,2,Timbuktu,1132,timbuktu,2763.0,1111.0
150,SON,songhai,sunni,False,7,7,cloth,2,Gao,True,1,Gao,1133,timbuktu,2813.0,1133.0
151,ZAF,bozo,Unowned,False,7,7,cloth,3,Jenne,True,2,Jenne,1134,timbuktu,2737.0,1184.0
152,YAT,mossi,Unowned,False,3,3,livestock,2,Gursi,True,0,Yatenga,1135,timbuktu,2767.0,1187.0
153,GUR,Unowned,Unowned,False,1,1,ivory,1,Bilanga,True,0,Gurma,1136,timbuktu,2825.0,1204.0
154,WGD,Unowned,Unowned,False,3,3,grain,3,Wagadugu,True,0,Wagadugi,1137,timbuktu,2781.0,1206.0
155,ASH,aka,Unowned,False,4,4,gold,1,Kumasi,True,0,Kumasi,1138,timbuktu,2791.0,1279.0
156,Unowned,aka,Unowned,False,2,2,unknown,1,Accra,False,1,GoldCoast,1139,ivory_coast,2800.0,1306.0
157,PAP,romagnan,catholic,False,4,5,salt,2,Ravenna,True,0,Romagna,114,venice,2993.0,642.0
158,Unowned,fon,Unowned,False,1,1,slaves,1,Allada,True,0,Abomey,1140,timbuktu,2829.0,1272.0
159,Unowned,fon,Unowned,False,1,1,unknown,1,Whydah,False,0,Whydah,1141,ivory_coast,2828.0,1290.0
160,SON,songhai,sunni,False,3,3,grain,1,Lulama,True,0,Dendi,1142,timbuktu,2846.0,1188.0
161,GUR,dagomba,Unowned,False,1,1,grain,1,Bussa,True,0,Borgu,1143,timbuktu,2853.0,1221.0
162,OYO,yorumba,Unowned,False,3,3,grain,1,Oyo,True,0,Oyo,1144,katsina,2870.0,1266.0
163,NUP,nupe,Unowned,False,2,2,,2,Nupe,True,0,Nupe,1145,katsina,2897.0,1252.0
164,OYO,yorumba,Unowned,False,3,3,,2,Ife,True,0,Ife,1146,katsina,2890.0,1267.0
165,BEN,yorumba,Unowned,False,4,4,,3,Oredo,True,1,Benin,1147,ivory_coast,2888.0,1297.0
166,KTS,hausa,sunni,False,3,3,iron,3,Gobir,True,0,Gobir,1148,katsina,2898.0,1179.0
167,KTS,hausa,sunni,False,6,6,cloth,3,Katsina,True,2,Katsina,1149,katsina,2921.0,1198.0
168,PIS,tuscan,catholic,True,6,6,wine,3,Pisa,False,1,Pisa,115,genua,2970.0,663.0
169,ZZZ,hausa,Unowned,False,3,3,grain,1,Dutsi,True,0,Zamfara,1150,katsina,2898.0,1208.0
170,Unowned,sawabantu,Unowned,False,1,1,slaves,2,Bonny,False,0,Bonny,1151,ivory_coast,2919.0,1314.0
171,NUP,nupe,Unowned,False,1,1,ivory,1,Idah,True,0,Idah,1152,katsina,2923.0,1286.0
172,NUP,nupe,Unowned,False,1,1,livestock,1,Lafia,True,0,Pindinga,1153,katsina,2930.0,1257.0
173,ZZZ,hausa,Unowned,False,3,3,slaves,3,Turunku,True,0,Zazzau,1154,katsina,2921.0,1231.0
174,KAN,hausa,sunni,False,5,5,dyes,5,Kano,True,0,Kano,1155,katsina,2937.0,1203.0
175,AIR,tuareg,sunni,False,1,1,livestock,1,Mashina,True,0,Damagaram,1156,katsina,2962.0,1149.0
176,KBO,kanuri,sunni,False,4,4,grain,1,Gatiga,True,2,Borno,1157,katsina,3007.0,1196.0
177,YAO,kanuri,sunni,False,3,3,,2,Ngala,True,1,Kanem,1158,katsina,3031.0,1164.0
178,YAO,Unowned,Unowned,False,3,3,ivory,1,Massenya,True,0,Bagirmi,1159,katsina,3061.0,1198.0
179,LAN,tuscan,catholic,True,10,12,wine,6,Firenze,True,2,Firenze,116,genua,2980.0,653.0
180,KBO,kanuri,Unowned,False,1,1,tropical_wood,1,Wandala,True,0,Mandara,1160,katsina,3016.0,1230.0
181,SOK,jukun,Unowned,False,1,1,unknown,1,Bauchi,True,0,Bauchi,1161,katsina,2965.0,1241.0
182,SOK,jukun,Unowned,False,1,1,unknown,1,Wukari,True,0,Wukari,1162,katsina,2946.0,1276.0
183,Unowned,sawabantu,Unowned,False,1,1,slaves,1,Calabar,False,1,Calabar,1163,ivory_coast,2941.0,1313.0
184,Unowned,sawabantu,Unowned,False,1,1,unknown,1,Cameroon,False,0,Cameroon,1164,ivory_coast,2966.0,1353.0
185,Unowned,kongolese,Unowned,False,2,2,unknown,1,Gabon,False,0,Gabon,1165,ivory_coast,2960.0,1402.0
186,LOA,kongolese,Unowned,False,3,3,gems,3,Loango,True,0,Loango,1166,ivory_coast,2997.0,1456.0
187,POR,mbundu,Unowned,False,2,2,unknown,1,Luanda,True,0,Luanda,1167,ivory_coast,3024.0,1560.0
188,KON,kongolese,Unowned,False,2,2,slaves,1,Lovata,True,0,Kisarna,1168,ivory_coast,3020.0,1531.0
189,TYO,kongolese,Unowned,False,2,2,copper,2,Anziku,True,0,Mayombe,1169,kongo,3031.0,1459.0
190,SIE,tuscan,catholic,True,8,8,glass,4,Siena,True,0,Siena,117,genua,2982.0,670.0
191,KON,kongolese,Unowned,False,6,6,iron,3,Kongo,True,2,Kongo,1170,kongo,3033.0,1508.0
192,NDO,mbundu,Unowned,False,2,2,slaves,3,Kabasa,True,1,Ndongo,1171,ivory_coast,3048.0,1559.0
193,POR,mbundu,Unowned,False,4,4,unknown,2,Benguela,True,1,Benguela,1172,ivory_coast,3019.0,1605.0
194,Unowned,Unowned,Unowned,False,0,0,,0,Damaraland,False,0,Damaraland,1173,cape_of_good_hope,3032.0,1744.0
195,Unowned,khoisan,Unowned,False,1,1,unknown,1,WalvisBay,False,0,WalvisBay,1174,ivory_coast,3038.0,1770.0
196,Unowned,khoisan,Unowned,False,1,1,unknown,1,LesserNamaqualand,False,0,LesserNamaqualand,1175,cape_of_good_hope,3081.0,1886.0
197,Unowned,khoisan,Unowned,False,1,1,unknown,1,Roggeveld,False,0,Roggeveld,1176,cape_of_good_hope,3127.0,1912.0
198,NED,khoisan,reformed,False,7,7,unknown,1,Cape,True,1,Cape,1177,cape_of_good_hope,3117.0,1947.0
199,Unowned,khoisan,Unowned,False,3,3,unknown,1,Beaufort,False,0,GreatKaroo,1178,cape_of_good_hope,3171.0,1914.0
200,NED,khoisan,reformed,False,2,2,unknown,2,Swellendam,True,0,LittleKaroo,1179,cape_of_good_hope,3165.0,1950.0
201,PAP,umbrian,catholic,False,9,9,paper,7,Roma,True,1,Roma,118,genua,2996.0,684.0
202,Unowned,nguni,Unowned,False,1,1,unknown,1,Thembu,False,0,Transkei,1180,cape_of_good_hope,3245.0,1917.0
203,Unowned,nguni,Unowned,False,2,2,unknown,1,Magulu,False,0,Natal,1181,cape_of_good_hope,3277.0,1886.0
204,POR,nguni,Unowned,False,4,4,unknown,1,Xefina,True,0,DelagoaBay,1182,cape_of_good_hope,3325.0,1803.0
205,POR,nguni,Unowned,False,4,4,unknown,1,Inhambane,True,1,Inhambane,1183,zanzibar,3343.0,1760.0
206,ZIM,shona,shamanism,False,5,4,gold,5,Zimbabwe,True,1,Zimbabwe,1184,zambezi,3285.0,1734.0
207,RZW,shona,shamanism,False,3,3,gold,1,Khami,True,0,Buha,1185,zambezi,3272.0,1701.0
208,SFA,nguni,sunni,False,3,4,gold,2,Sofala,True,1,Sofala,1186,zanzibar,3347.0,1711.0
209,ZIM,shona,shamanism,False,2,2,ivory,2,Sena,True,0,Sena,1187,zambezi,3349.0,1674.0
210,ZIM,shona,shamanism,False,2,2,gold,1,Massapa,True,0,Masapa,1188,zambezi,3288.0,1671.0
211,RZW,shona,shamanism,False,2,2,livestock,1,Shangwe,True,0,Shangwe,1189,zambezi,3248.0,1675.0
212,PAP,umbrian,catholic,False,5,5,paper,4,Ancona,True,0,Ancona,119,venice,3013.0,662.0
213,ZIM,shona,shamanism,False,2,2,ivory,1,Chikova,True,0,Zumbo,1190,zambezi,3278.0,1650.0
214,ZIM,shona,shamanism,False,2,2,ivory,1,Tete,True,2,Tete,1191,zambezi,3322.0,1655.0
215,SFA,nyasa,sunni,False,3,3,ivory,1,Quelimane,True,0,Quelimane,1192,zanzibar,3377.0,1681.0
216,SKA,madagasque,Unowned,False,3,3,slaves,3,Morondava,True,1,Menabe,1193,zanzibar,3498.0,1737.0
217,SKA,Unowned,Unowned,False,2,2,fish,1,Besalampy,True,0,Boina,1194,zanzibar,3514.0,1669.0
218,ZAN,swahili,sunni,False,2,2,ivory,2,Mozambique,True,0,Mozambique,1195,zanzibar,3431.0,1627.0
219,ZAN,swahili,sunni,False,4,4,gold,2,Kilwa,True,1,Kilwa,1196,zanzibar,3409.0,1539.0
220,ZAN,swahili,Unowned,False,1,1,,1,Mzizima,True,0,Mzizima,1197,zanzibar,3403.0,1513.0
221,ZAN,swahili,sunni,False,2,2,fish,1,Lindi,True,0,Lindi,1198,zanzibar,3418.0,1565.0
222,ZAN,swahili,Unowned,False,1,1,ivory,1,Bagamayo,True,0,Bagamoyo,1199,zanzibar,3402.0,1500.0
223,DAN,danish,catholic,False,8,8,fish,4,København,True,2,Sjaelland,12,,2989.0,414.0
224,NAP,neapolitan,catholic,False,5,5,wine,3,L'Aquila,True,0,Abbruzzi,120,venice,3021.0,679.0
225,MBA,swahili,Unowned,False,2,2,ivory,2,Tanga,True,0,Tanga,1200,zanzibar,3403.0,1471.0
226,ZAN,swahili,ibadi,False,2,2,slaves,1,Zanzibar,True,2,Zanzibar,1201,zanzibar,3422.0,1500.0
