,owner,culture,religion,hre,base_tax,base_production,trade_goods,base_manpower,capital,is_city,center_of_trade,name,id,trade_node
90,MLO,venetian,catholic,no,5,5,grain,3,Verona,yes,1,Verona,108,venice
91,RUS,uralic,orthodox,no,1,1,unknown,1,Pelym,yes,0,NorthUrals,1080,siberia
92,KAZ,kazani,sunni,no,1,1,iron,1,Bolgar,yes,0,Simbirsk,1081,kazan
93,KAZ,kazani,sunni,no,6,6,grain,3,Kazan,yes,2,Kazan,1082,kazan
94,MOS,russian,orthodox,no,3,3,grain,2,Yur,yes,0,Zavolochye,1083,kazan
95,NOO,nyoongah,dreamtime,no,3,4,livestock,2,Wadjuk,yes,1,Wadjuk,1084,australia
96,GBR,palawa,dreamtime,no,2,2,fish,2,Paredarerme,yes,0,Paredarerme,1085,australia
97,KAU,yura,dreamtime,no,3,3,fish,1,Kaurna,yes,1,Kaurna,1086,australia
98,WRU,kulin,dreamtime,no,4,5,livestock,2,Wurundjeri,yes,1,Wurundjeri,1087,australia
99,Unowned,kulin,dreamtime,no,1,1,unknown,1,Wergaia,no,0,Wergaia,1088,australia
100,Unowned,gamilaraay,dreamtime,no,3,3,unknown,2,Wiradjuri,no,0,Wiradjuri,1089,australia
101,MAN,romagnan,catholic,yes,8,8,livestock,3,Mantova,yes,1,Mantua,109,venice
102,EOR,aboriginal,dreamtime,no,5,4,fish,2,Eora,yes,1,Eora,1090,australia
103,Unowned,gamilaraay,dreamtime,no,1,1,unknown,1,Kamilaroi,no,0,Kamilaroi,1091,australia
104,Unowned,aboriginal,dreamtime,no,3,3,unknown,2,Gubbi-Gubbi,no,0,Bundjalung,1092,australia
105,Unowned,gamilaraay,dreamtime,no,1,1,unknown,1,Barunggam,no,0,Barunggam,1093,australia
106,MIA,gamilaraay,dreamtime,no,2,2,naval_supplies,1,Turrbal,yes,0,Turrbal,1094,australia
107,FRA,cosmopolitan_french,catholic,no,1,1,unknown,1,Falklands,yes,0,Falklands,1095,laplata
108,POR,portugese,catholic,no,1,1,unknown,1,CapeVerde,yes,0,CapeVerde,1096,ivory_coast
109,POR,yorumba,catholic,no,2,2,unknown,1,FernandoPo,yes,0,FernandoPo,1097,ivory_coast
110,NED,dutch,reformed,no,1,1,unknown,1,St,yes,0,St,1098,ivory_coast
111,MHR,mahri_culture,coptic,no,1,2,fish,1,Suqutra,yes,0,Socotra,1099,gulf_of_aden
112,SWE,swedish,catholic,no,1,1,fur,1,Umeå,yes,0,Vasterbotten,11,baltic_sea
113,TNT,venetian,catholic,yes,4,3,iron,1,Trent,yes,0,Trent,110,
114,FRA,cosmopolitan_french,catholic,no,2,2,unknown,1,Mahe,yes,0,Mahe,1100,zanzibar
115,FRA,cosmopolitan_french,catholic,no,1,1,unknown,1,DiegoGarcia,yes,0,DiegoGarcia,1101,comorin_cape
116,NED,dutch,reformed,no,5,5,unknown,1,Mauritius,yes,0,Mauritius,1102,zanzibar
117,FRA,cosmopolitan_french,catholic,no,5,5,unknown,1,Bourbon,yes,0,Bourbon,1103,zanzibar
118,DAN,inuit,totemism,no,1,1,unknown,1,Eiriksfjord,yes,0,Eiriksfjord,1104,st_lawrence
119,DAN,inuit,totemism,no,1,1,unknown,1,Vestbygden,yes,0,Vestbygden,1105,st_lawrence
120,TTT,maori,animism,no,4,4,tropical_wood,2,Whangarei,yes,0,TeTaiTokerau,1106,polynesia_node
121,TNK,maori,animism,no,4,4,salt,2,Ngamotu,yes,0,Taranaki,1107,polynesia_node
122,TEA,maori,animism,no,4,4,fish,2,Tauranga,yes,0,TeMoanaaToi,1108,polynesia_node
123,Unowned,maori,animism,no,1,1,naval_supplies,1,Kaiapoi,no,0,Timaru,1109,polynesia_node
124,AQU,venetian,catholic,no,5,5,wine,2,Udine,no,0,Friuli,111,venice
125,MOR,berber,sunni,no,3,3,sugar,2,Agadir,yes,1,RiodeOro,1110,safi
126,POR,berber,sunni,no,1,1,unknown,1,Arguin,yes,0,Arguin,1111,ivory_coast
127,JOL,senegambian,sunni,no,1,1,salt,1,Awlil,yes,0,Trarza,1112,ivory_coast
128,JOL,senegambian,Unowned,no,3,3,slaves,2,Mboul,yes,0,Cayor,1113,ivory_coast
129,MAL,senegambian,Unowned,no,3,3,ivory,2,Kansala,yes,1,Gabu,1114,ivory_coast
130,Unowned,fulani,Unowned,no,1,1,unknown,1,Aligh,no,0,Brakna,1115,timbuktu
131,JOL,senegambian,Unowned,no,3,3,slaves,2,Jowol,yes,0,Wolof,1116,ivory_coast
132,MAL,fulani,Unowned,no,3,3,ivory,3,Timbo,yes,0,FutaJallon,1117,ivory_coast
133,GBR,dyola,Unowned,no,1,1,unknown,1,Sherbro,yes,0,SierraLeone,1118,ivory_coast
134,Unowned,dyola,Unowned,no,1,1,,1,Mesurado,no,0,GrainCoast,1119,ivory_coast
135,VEN,venetian,catholic,no,10,12,glass,5,Venezia,no,3,Venezia,112,venice
136,MAL,soninke,Unowned,no,6,6,gold,2,Bambuk,yes,0,Bambuk,1120,timbuktu
137,MAL,mali,Unowned,no,6,6,gold,2,Kurussa,yes,0,Bure,1121,timbuktu
138,MAL,dyola,Unowned,no,1,1,dyes,1,Tingrela,yes,0,Bagoe,1122,timbuktu
139,MAL,bambara,Unowned,no,5,5,grain,2,Kirina,yes,0,Segu,1123,timbuktu
140,MAL,mali,Unowned,no,4,4,grain,8,Niani,yes,1,Wasuju,1124,timbuktu
141,KNG,dyola,Unowned,no,2,2,ivory,2,Kong,yes,0,Kong,1125,timbuktu
142,Unowned,aka,Unowned,no,1,1,unknown,1,Assinie,no,0,IvoryCoast,1126,ivory_coast
143,MOR,tuareg,sunni,no,1,1,unknown,1,Tawat,yes,0,Tuat,1127,timbuktu
144,TMB,tuareg,sunni,no,1,1,salt,1,Tawdani,yes,0,Taodeni,1128,timbuktu
145,TMB,tuareg,sunni,no,1,1,salt,1,Arawan,yes,0,Azawadd,1129,timbuktu
146,FER,romagnan,catholic,yes,6,6,salt,2,Ferrara,yes,0,Ferrara,113,venice
147,SON,tuareg,sunni,no,1,1,wool,1,Tadmekka,yes,0,Tadmekka,1130,timbuktu
148,JNN,bambara,Unowned,no,4,4,grain,1,Macina,yes,1,Massina,1131,timbuktu
149,TMB,tuareg,sunni,no,8,8,cloth,2,Timbuktu,yes,2,Timbuktu,1132,timbuktu
150,SON,songhai,sunni,no,7,7,cloth,2,Gao,yes,1,Gao,1133,timbuktu
151,ZAF,bozo,Unowned,no,7,7,cloth,3,Jenne,yes,2,Jenne,1134,timbuktu
152,YAT,mossi,Unowned,no,3,3,livestock,2,Gursi,yes,0,Yatenga,1135,timbuktu
153,GUR,Unowned,Unowned,no,1,1,ivory,1,Bilanga,yes,0,Gurma,1136,timbuktu
154,WGD,Unowned,Unowned,no,3,3,grain,3,Wagadugu,yes,0,Wagadugi,1137,timbuktu
155,ASH,aka,Unowned,no,4,4,gold,1,Kumasi,yes,0,Kumasi,1138,timbuktu
156,Unowned,aka,Unowned,no,2,2,unknown,1,Accra,no,1,GoldCoast,1139,ivory_coast
157,PAP,romagnan,catholic,no,4,5,salt,2,Ravenna,yes,0,Romagna,114,venice
158,Unowned,fon,Unowned,no,1,1,slaves,1,Allada,yes,0,Abomey,1140,timbuktu
159,Unowned,fon,Unowned,no,1,1,unknown,1,Whydah,no,0,Whydah,1141,ivory_coast
160,SON,songhai,sunni,no,3,3,grain,1,Lulama,yes,0,Dendi,1142,timbuktu
161,GUR,dagomba,Unowned,no,1,1,grain,1,Bussa,yes,0,Borgu,1143,timbuktu
162,OYO,yorumba,Unowned,no,3,3,grain,1,Oyo,yes,0,Oyo,1144,katsina
163,NUP,nupe,Unowned,no,2,2,,2,Nupe,yes,0,Nupe,1145,katsina
164,OYO,yorumba,Unowned,no,3,3,,2,Ife,yes,0,Ife,1146,katsina
165,BEN,yorumba,Unowned,no,4,4,,3,Oredo,yes,1,Benin,1147,ivory_coast
166,KTS,hausa,sunni,no,3,3,iron,3,Gobir,yes,0,Gobir,1148,katsina
167,KTS,hausa,sunni,no,6,6,cloth,3,Katsina,yes,2,Katsina,1149,katsina
168,PIS,tuscan,catholic,yes,6,6,wine,3,Pisa,no,1,Pisa,115,genua
169,ZZZ,hausa,Unowned,no,3,3,grain,1,Dutsi,yes,0,Zamfara,1150,katsina
170,Unowned,sawabantu,Unowned,no,1,1,slaves,2,Bonny,no,0,Bonny,1151,ivory_coast
171,NUP,nupe,Unowned,no,1,1,ivory,1,Idah,yes,0,Idah,1152,katsina
172,NUP,nupe,Unowned,no,1,1,livestock,1,Lafia,yes,0,Pindinga,1153,katsina
173,ZZZ,hausa,Unowned,no,3,3,slaves,3,Turunku,yes,0,Zazzau,1154,katsina
174,KAN,hausa,sunni,no,5,5,dyes,5,Kano,yes,0,Kano,1155,katsina
175,AIR,tuareg,sunni,no,1,1,livestock,1,Mashina,yes,0,Damagaram,1156,katsina
176,KBO,kanuri,sunni,no,4,4,grain,1,Gatiga,yes,2,Borno,1157,katsina
177,YAO,kanuri,sunni,no,3,3,,2,Ngala,yes,1,Kanem,1158,katsina
178,YAO,Unowned,Unowned,no,3,3,ivory,1,Massenya,yes,0,Bagirmi,1159,katsina
179,LAN,tuscan,catholic,yes,10,12,wine,6,Firenze,yes,2,Firenze,116,genua
180,KBO,kanuri,Unowned,no,1,1,tropical_wood,1,Wandala,yes,0,Mandara,1160,katsina
181,SOK,jukun,Unowned,no,1,1,unknown,1,Bauchi,yes,0,Bauchi,1161,katsina
182,SOK,jukun,Unowned,no,1,1,unknown,1,Wukari,yes,0,Wukari,1162,katsina
183,Unowned,sawabantu,Unowned,no,1,1,slaves,1,Calabar,no,1,Calabar,1163,ivory_coast
184,Unowned,sawabantu,Unowned,no,1,1,unknown,1,Cameroon,no,0,Cameroon,1164,ivory_coast
185,Unowned,kongolese,Unowned,no,2,2,unknown,1,Gabon,no,0,Gabon,1165,ivory_coast
186,LOA,kongolese,Unowned,no,3,3,gems,3,Loango,yes,0,Loango,1166,ivory_coast
187,POR,mbundu,Unowned,no,2,2,unknown,1,Luanda,yes,0,Luanda,1167,ivory_coast
188,KON,kongolese,Unowned,no,2,2,slaves,1,Lovata,yes,0,Kisarna,1168,ivory_coast
189,TYO,kongolese,Unowned,no,2,2,copper,2,Anziku,yes,0,Mayombe,1169,kongo
190,SIE,tuscan,catholic,yes,8,8,glass,4,Siena,yes,0,Siena,117,genua
191,KON,kongolese,Unowned,no,6,6,iron,3,Kongo,yes,2,Kongo,1170,kongo
192,NDO,mbundu,Unowned,no,2,2,slaves,3,Kabasa,yes,1,Ndongo,1171,ivory_coast
193,POR,mbundu,Unowned,no,4,4,unknown,2,Benguela,yes,1,Benguela,1172,ivory_coast
194,Unowned,Unowned,Unowned,no,0,0,,0,Damaraland,no,0,Damaraland,1173,cape_of_good_hope
195,Unowned,khoisan,Unowned,no,1,1,unknown,1,WalvisBay,no,0,WalvisBay,1174,ivory_coast
196,Unowned,khoisan,Unowned,no,1,1,unknown,1,LesserNamaqualand,no,0,LesserNamaqualand,1175,cape_of_good_hope
197,Unowned,khoisan,Unowned,no,1,1,unknown,1,Roggeveld,no,0,Roggeveld,1176,cape_of_good_hope
198,NED,khoisan,reformed,no,7,7,unknown,1,Cape,yes,1,Cape,1177,cape_of_good_hope
199,Unowned,khoisan,Unowned,no,3,3,unknown,1,Beaufort,no,0,GreatKaroo,1178,cape_of_good_hope
200,NED,khoisan,reformed,no,2,2,unknown,2,Swellendam,yes,0,LittleKaroo,1179,cape_of_good_hope
201,PAP,umbrian,catholic,no,9,9,paper,7,Roma,yes,1,Roma,118,genua
202,Unowned,nguni,Unowned,no,1,1,unknown,1,Thembu,no,0,Transkei,1180,cape_of_good_hope
203,Unowned,nguni,Unowned,no,2,2,unknown,1,Magulu,no,0,Natal,1181,cape_of_good_hope
204,POR,nguni,Unowned,no,4,4,unknown,1,Xefina,yes,0,DelagoaBay,1182,cape_of_good_hope
205,POR,nguni,Unowned,no,4,4,unknown,1,Inhambane,yes,1,Inhambane,1183,zanzibar
206,ZIM,shona,shamanism,no,5,4,gold,5,Zimbabwe,yes,1,Zimbabwe,1184,zambezi
207,RZW,shona,shamanism,no,3,3,gold,1,Khami,yes,0,Buha,1185,zambezi
208,SFA,nguni,sunni,no,3,4,gold,2,Sofala,yes,1,Sofala,1186,zanzibar
209,ZIM,shona,shamanism,no,2,2,ivory,2,Sena,yes,0,Sena,1187,zambezi
210,ZIM,shona,shamanism,no,2,2,gold,1,Massapa,yes,0,Masapa,1188,zambezi
211,RZW,shona,shamanism,no,2,2,livestock,1,Shangwe,yes,0,Shangwe,1189,zambezi
212,PAP,umbrian,catholic,no,5,5,paper,4,Ancona,yes,0,Ancona,119,venice
213,ZIM,shona,shamanism,no,2,2,ivory,1,Chikova,yes,0,Zumbo,1190,zambezi
214,ZIM,shona,shamanism,no,2,2,ivory,1,Tete,yes,2,Tete,1191,zambezi
215,SFA,nyasa,sunni,no,3,3,ivory,1,Quelimane,yes,0,Quelimane,1192,zanzibar
216,SKA,madagasque,Unowned,no,3,3,slaves,3,Morondava,yes,1,Menabe,1193,zanzibar
217,SKA,Unowned,Unowned,no,2,2,fish,1,Besalampy,yes,0,Boina,1194,zanzibar
218,ZAN,swahili,sunni,no,2,2,ivory,2,Mozambique,yes,0,Mozambique,1195,zanzibar
219,ZAN,swahili,sunni,no,4,4,gold,2,Kilwa,yes,1,Kilwa,1196,zanzibar
220,ZAN,swahili,Unowned,no,1,1,,1,Mzizima,yes,0,Mzizima,1197,zanzibar
221,ZAN,swahili,sunni,no,2,2,fish,1,Lindi,yes,0,Lindi,1198,zanzibar
222,ZAN,swahili,Unowned,no,1,1,ivory,1,Bagamayo,yes,0,Bagamoyo,1199,zanzibar
223,DAN,danish,catholic,no,8,8,fish,4,København,yes,2,Sjaelland,12,
224,NAP,neapolitan,catholic,no,5,5,wine,3,L'Aquila,yes,0,Abbruzzi,120,venice
225,MBA,swahili,Unowned,no,2,2,ivory,2,Tanga,yes,0,Tanga,1200,zanzibar
226,ZAN,swahili,ibadi,no,2,2,slaves,1,Zanzibar,yes,2,Zanzibar,1201,zanzibar
227,MBA,swahili,sunni,no,5,5,ivory,2,Mombasa,yes,2,Mombasa,1202,zanzibar
228,MLI,swahili,sunni,no,4,4,iron,2,Malindi,yes,1,Malindi,1203,zanzibar
229,MLI,swahili,sunni,no,3,3,ivory,1,Lamu,yes,0,Lamu,1204,zanzibar
230,MDI,somali,sunni,no,4,4,ivory,2,Maqdishu,yes,2,Mogadishu,1205,gulf_of_aden
231,MRE,somali,sunni,no,1,1,incense,1,Qardho,yes,0,Qardho,1206,gulf_of_aden
232,OGD,somali,sunni,no,1,1,incense,1,Bale,no,0,Ogaden,1207,ethiopia
233,ADA,somali,sunni,no,1,1,livestock,1,Degehabur,yes,0,Degehabur,1208,ethiopia
234,WAR,somali,sunni,no,4,4,slaves,2,Berbera,yes,0,Berbera,1209,gulf_of_aden
235,NAP,neapolitan,catholic,no,8,8,grain,6,Napoli,no,2,Napoli,121,genua
236,ETH,harari,sunni,no,1,1,grain,1,Dawaro,yes,0,Dawaro,1210,ethiopia
237,ADA,harari,sunni,no,6,6,coffee,4,Harer,yes,1,Harer,1211,gulf_of_aden
238,ADA,Unowned,sunni,no,5,5,incense,3,Zayla,yes,2,Zeila,1212,gulf_of_aden
239,ETH,amhara,sunni,no,3,3,grain,3,Badeqe,yes,0,Shoa,1213,ethiopia
240,ETH,amhara,coptic,no,2,2,grain,2,Hayq,yes,0,Awsa,1214,ethiopia
241,ADA,afar,sunni,no,2,2,livestock,2,Tajura,yes,0,Tajura,1215,gulf_of_aden
242,NUB,Unowned,Unowned,no,1,1,unknown,1,Takala,yes,0,DarNuba,1216,ethiopia
243,Unowned,Unowned,Unowned,no,1,1,unknown,2,Alays,no,0,Fazughli,1217,ethiopia
244,WLY,sidamo,shamanism,no,2,2,coffee,2,Irgalem,yes,0,Kefa,1218,ethiopia
245,DAR,tunjur,Unowned,no,1,1,unknown,1,Al-Fashir,yes,1,Kordofan,1219,ethiopia
246,NAP,neapolitan,catholic,no,3,3,wine,2,Taranto,yes,0,Apulia,122,venice
247,ABB,nubian,sunni,no,1,1,livestock,2,Bayuda,yes,0,DarJaal,1220,ethiopia
248,NUB,nubian,Unowned,no,1,1,unknown,1,Al-Ubayyid,yes,0,Taqali,1221,ethiopia
249,ALO,nubian,coptic,no,1,1,grain,2,Gezira,yes,0,Gezira,1222,ethiopia
250,ETH,amhara,coptic,no,2,2,coffee,2,Gojjam,yes,0,Gojjam,1223,ethiopia
251,ETH,amhara,coptic,no,4,4,grain,2,Gondar,yes,2,Gonder,1224,ethiopia
252,ALO,nubian,sunni,no,1,1,ivory,1,Qarri,yes,0,Butana,1225,ethiopia
253,BEJ,beja,sunni,no,1,1,livestock,2,Taka,yes,0,Taka,1226,ethiopia
254,ETH,tigray,Unowned,no,2,2,grain,3,Debarwa,yes,0,Tigre,1227,ethiopia
255,ABB,nubian,shiite,no,2,1,grain,2,Dunqula,yes,0,Dongola,1228,ethiopia
256,BEJ,beja,sunni,no,1,1,unknown,2,Berber,yes,0,Berber,1229,ethiopia
257,NAP,sicilian,catholic,no,2,2,fish,2,Calabria,yes,0,Calabria,123,genua
258,MED,tigray,coptic,no,2,2,,1,Mitsiwa,yes,0,Massawa,1230,gulf_of_aden
259,MAM,al_misr_arabic,sunni,no,2,2,livestock,1,Aswan,yes,0,Aswan,1231,alexandria
260,MAM,beja,sunni,no,1,1,slaves,1,Suakin,yes,0,Suakin,1232,gulf_of_aden
261,MAM,al_misr_arabic,sunni,no,1,1,livestock,1,Kharga,yes,0,Kharga,1233,alexandria
262,MAK,nubian,Unowned,no,2,2,livestock,2,QasrIbrim,yes,0,QasrIbrim,1234,alexandria
263,SPA,polynesian,animism,no,1,1,unknown,1,Guam,yes,0,Guam,1235,polynesia_node
264,Unowned,papuan,animism,no,1,1,unknown,1,Rabaul,no,0,Rabaul,1236,polynesia_node
265,Unowned,papuan,animism,no,1,1,unknown,1,Hanuabada,no,0,Hanuabada,1237,the_moluccas
